Country,,Housing Expenditure (%),Household net adjustable disposable income,Household Net Wealth,Labor market Insecurity,Employment Rate,  Quality of support network,  Student skills Average score,  Years in education,Air Pollution (cubic meter),Water Quality (%),  Voter turnout (%),  Life expectancy (Years),  Life satisfaction Average Score,  Homicide rate,  Work Life Balance : Time devoted to leisure and personal care
Australia,,20,32759,427064,5.4,73,95,502,21,5,93,91,82.5,7.3,1.1,14.35
Austria,,21,33541,308325,3.5,72,92,492,17,16,92,80,81.7,7.1,0.5,14.55
Belgium,,21,30364,386006,3.7,63,91,503,19.3,15,84,89,81.5,6.9,1,15.7
Canada,,22,30854,423849,6,73,93,523,17.3,7,91,68,81.9,7.4,1.3,14.56
Chile,,18,..,100967,8.7,63,85,443,17.5,16,71,47,79.9,6.5,4.2,..
Czech Republic,,24,21453,..,3.1,74,91,491,17.9,20,87,61,79.1,6.7,0.5,..
Denmark,,23,29606,118637,4.2,74,95,504,19.5,9,95,86,80.9,7.6,0.6,15.87
Estonia,,17,19697,159373,3.8,74,92,524,17.7,8,84,64,77.8,5.7,3.1,14.9
Finland,,23,29943,200827,3.9,70,95,523,19.8,6,95,67,81.5,7.6,1.3,15.17
France,,21,31304,280653,7.6,65,90,496,16.5,13,81,75,82.4,6.5,0.5,16.36
Germany,,20,34294,259667,2.7,75,90,508,18.1,14,91,76,81.1,7,0.5,15.62
Greece,,23,17700,150134,29.8,53,80,458,19,18,69,64,81.5,5.4,0.8,..
Hungary,,19,..,104458,4.7,68,86,474,16.4,19,77,70,76.2,5.6,1,..
Iceland,,24,..,..,0.7,86,98,481,19,3,99,79,82.3,7.5,0.5,..
Ireland,,20,25310,217130,7.8,67,95,509,18.1,7,85,65,81.8,7,0.7,..
Israel,,..,..,..,4.2,69,88,472,15.6,21,67,72,82.5,7.2,1.8,..
Italy,,23,26588,279889,12.3,58,92,485,16.6,18,71,73,83.3,6,0.6,16.47
Japan,,22,29798,305878,1.4,75,89,529,16.4,14,87,53,84.1,5.9,0.2,..
Korea,,15,21882,285980,2.6,67,78,519,17.3,28,76,77,82.4,5.9,1,14.7
Latvia,,23,16275,70160,9.6,70,86,487,18,11,79,59,74.7,5.9,4.8,13.83
Lithuania,,19,21660,..,..,70,88,475,18.4,14,81,51,74.8,5.9,3.4,..
Luxembourg,,21,39264,769053,1.7,66,93,483,15.1,12,84,91,82.8,6.9,0.6,..
Mexico,,20,..,..,5.5,61,81,416,15.2,16,68,63,75.4,6.5,18.1,..
Netherlands,,19,29333,157824,4.8,76,91,508,18.7,14,93,82,81.6,7.4,0.6,..
New Zealand,,26,..,388514,4.7,77,96,506,17.7,5,89,80,81.7,7.3,1.3,14.87
Norway,,17,35725,228936,..,74,94,504,18.3,5,98,78,82.5,7.6,0.4,15.56
Poland,,22,19814,210991,5.7,66,86,504,17.6,22,82,55,78,6.1,0.7,14.42
Portugal,,21,21203,232666,10,68,88,497,16.9,10,86,56,81.2,5.4,1,..
Slovak Republic,,23,20474,119696,9.9,66,91,463,15.8,21,85,60,77.3,6.2,0.8,..
Slovenia,,18,20820,203044,5.8,69,92,509,18.3,16,90,53,81.3,5.9,0.6,14.75
Spain,,21,23999,373548,23.1,62,93,491,17.9,11,72,70,83.4,6.3,0.6,15.93
Sweden,,19,31287,..,3.2,77,91,496,19.3,6,96,86,82.4,7.3,0.9,15.18
Switzerland,,22,37466,..,..,80,93,506,17.5,15,95,49,83.7,7.5,0.6,..
Turkey,,20,..,..,12.5,52,86,425,18.3,20,65,86,78,5.5,1.4,14.79
United Kingdom,,26,28715,548392,4.5,75,94,500,17.5,11,84,69,81.2,6.8,0.2,14.92
United States,,19,45284,632100,7.7,70,91,488,17.2,10,83,65,78.6,6.9,5.5,14.44
OECD - Total,,20,33604,408376,7,68,89,486,17.2,14,81,68,80.2,6.5,3.7,14.98
