"COU","Country","STAT_DIV_TAX","Overall statutory tax rates on dividend income","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2000","2000","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2001","2001","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2002","2002","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2003","2003","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2004","2004","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2005","2005","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2006","2006","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2007","2007","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2008","2008","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2009","2009","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2010","2010","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2011","2011","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2012","2012","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2013","2013","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2014","2014","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2015","2015","PC","Percentage","0","Units",,,111.11,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2016","2016","PC","Percentage","0","Units",,,100,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2017","2017","PC","Percentage","0","Units",,,100,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2018","2018","PC","Percentage","0","Units",,,100,,
"GBR","United Kingdom","GROSS_UP_DIV","Grossed up dividend","2019","2019","PC","Percentage","0","Units",,,100,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2000","2000","PC","Percentage","0","Units",,,24,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2001","2001","PC","Percentage","0","Units",,,20,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2002","2002","PC","Percentage","0","Units",,,16,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2003","2003","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2004","2004","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2005","2005","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2006","2006","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2007","2007","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2008","2008","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2009","2009","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2010","2010","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2011","2011","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2012","2012","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2013","2013","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2014","2014","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2015","2015","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2016","2016","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2017","2017","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2018","2018","PC","Percentage","0","Units",,,12.5,,
"IRL","Ireland","CIT_RATE_DIST_PROFIT","CIT rate on distributed profit","2019","2019","PC","Percentage","0","Units",,,12.5,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2000","2000","PC","Percentage","0","Units",,,154.320988,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2001","2001","PC","Percentage","0","Units",,,154.320988,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2002","2002","PC","Percentage","0","Units",,,149.253731,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2003","2003","PC","Percentage","0","Units",,,149.253731,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2004","2004","PC","Percentage","0","Units",,,137.931034,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2005","2005","PC","Percentage","0","Units",,,137.931034,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2006","2006","PC","Percentage","0","Units",,,137.931034,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2007","2007","PC","Percentage","0","Units",,,136.054422,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2008","2008","PC","Percentage","0","Units",,,136.054422,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2009","2009","PC","Percentage","0","Units",,,136.054422,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2010","2010","PC","Percentage","0","Units",,,136.054422,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2011","2011","PC","Percentage","0","Units",,,139.86014,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2012","2012","PC","Percentage","0","Units",,,145.985401,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2013","2013","PC","Percentage","0","Units",,,145.985401,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2014","2014","PC","Percentage","0","Units",,,145.985401,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2015","2015","PC","Percentage","0","Units",,,141.843972,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2016","2016","PC","Percentage","0","Units",,,141.843972,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2017","2017","PC","Percentage","0","Units",,,141.843972,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2018","2018","PC","Percentage","0","Units",,,145.985401,,
"PRT","Portugal","PRE_TAX_DIST_PROFIT","Pre-tax distributed profit","2019","2019","PC","Percentage","0","Units",,,145.985401,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2000","2000","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2001","2001","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2002","2002","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2003","2003","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2004","2004","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2005","2005","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2006","2006","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2007","2007","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2008","2008","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2009","2009","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2010","2010","PC","Percentage","0","Units",,,15,,
"CZE","Czech Republic","NET_PERS_TAX","Net personal tax","2011","2011","PC","Percentage","0","Units",,,15,,
