DP_LIVE_04022020205119508
Country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Australia,INCOMEINEQ,GINI,INEQ,A,2016,0.33,
Austria,INCOMEINEQ,GINI,INEQ,A,2016,0.284,
Belgium,INCOMEINEQ,GINI,INEQ,A,2016,0.266,
Canada,INCOMEINEQ,GINI,INEQ,A,2017,0.31,
Czech Republic,INCOMEINEQ,GINI,INEQ,A,2016,0.253,
Denmark,INCOMEINEQ,GINI,INEQ,A,2016,0.261,
Finland,INCOMEINEQ,GINI,INEQ,A,2017,0.266,
France,INCOMEINEQ,GINI,INEQ,A,2016,0.291,
Germany,INCOMEINEQ,GINI,INEQ,A,2016,0.294,
Greece,INCOMEINEQ,GINI,INEQ,A,2016,0.333,
Hungary,INCOMEINEQ,GINI,INEQ,A,2016,0.282,
Iceland,INCOMEINEQ,GINI,INEQ,A,2015,0.255,
Ireland,INCOMEINEQ,GINI,INEQ,A,2016,0.309,
Italy,INCOMEINEQ,GINI,INEQ,A,2016,0.328,
Japan,INCOMEINEQ,GINI,INEQ,A,2015,0.339,
Korea,INCOMEINEQ,GINI,INEQ,A,2017,0.355,
Luxembourg,INCOMEINEQ,GINI,INEQ,A,2016,0.304,
Mexico,INCOMEINEQ,GINI,INEQ,A,2016,0.458,
Netherlands,INCOMEINEQ,GINI,INEQ,A,2016,0.285,P
Norway,INCOMEINEQ,GINI,INEQ,A,2017,0.262,
New Zealand,INCOMEINEQ,GINI,INEQ,A,2017,0.333,
Poland,INCOMEINEQ,GINI,INEQ,A,2016,0.284,
Portugal,INCOMEINEQ,GINI,INEQ,A,2016,0.331,
Slovak Republic,INCOMEINEQ,GINI,INEQ,A,2016,0.241,
Spain,INCOMEINEQ,GINI,INEQ,A,2016,0.341,
Sweden,INCOMEINEQ,GINI,INEQ,A,2017,0.282,
Switzerland,INCOMEINEQ,GINI,INEQ,A,2015,0.296,
Turkey,INCOMEINEQ,GINI,INEQ,A,2015,0.404,
United Kingdom,INCOMEINEQ,GINI,INEQ,A,2017,0.357,
United States,INCOMEINEQ,GINI,INEQ,A,2017,0.39,
Chile,INCOMEINEQ,GINI,INEQ,A,2017,0.46,
Estonia,INCOMEINEQ,GINI,INEQ,A,2016,0.314,
Israel,INCOMEINEQ,GINI,INEQ,A,2017,0.344,
Slovenia,INCOMEINEQ,GINI,INEQ,A,2016,0.244,
Latvia,INCOMEINEQ,GINI,INEQ,A,2016,0.346,
Lithuania,INCOMEINEQ,GINI,INEQ,A,2016,0.378,
