"COU","Country","ALL_IN","All in average income tax rates at average wage","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,16.814327,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,16.242475,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,16.199027,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,14.067018,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,14.140487,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,14.208052,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,14.581221,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,15.230035,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,15.738089,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,14.787123,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,15.179774,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,14.275949,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,14.511821,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,16.420546,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2014","2014","PC","Percentage","0","Units",,,16.651382,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2015","2015","PC","Percentage","0","Units",,,16.745402,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2016","2016","PC","Percentage","0","Units",,,16.915362,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2017","2017","PC","Percentage","0","Units",,,17.223948,,
"USA","United States","ALL_IN_RATE_SING_TWO_CH","Two children","2018","2018","PC","Percentage","0","Units",,,13.588384,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2000","2000","PC","Percentage","0","Units",,,33.880178,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2001","2001","PC","Percentage","0","Units",,,32.616036,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2002","2002","PC","Percentage","0","Units",,,32.073611,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2003","2003","PC","Percentage","0","Units",,,31.508187,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2004","2004","PC","Percentage","0","Units",,,30.837468,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2005","2005","PC","Percentage","0","Units",,,31.045475,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2006","2006","PC","Percentage","0","Units",,,30.587988,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2007","2007","PC","Percentage","0","Units",,,30.413241,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2008","2008","PC","Percentage","0","Units",,,30.359145,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2009","2009","PC","Percentage","0","Units",,,29.269925,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2010","2010","PC","Percentage","0","Units",,,29.423682,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2011","2011","PC","Percentage","0","Units",,,29.374247,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2012","2012","PC","Percentage","0","Units",,,29.37745,,
"FIN","Finland","ALL_IN_RATE_SING_TWO_CH","Two children","2013","2013","PC","Percentage","0","Units",,,30.138411,,
